Circuit de distribution;Famille de produit;Sous1000000famille de produit;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Artisans 1000000 commerçants;Epicerie;Epicerie salée;1000000;1;1;1;1;2;5;10;27;55;82;80;90
Artisans 1000000 commerçants;Boissons sans alcool;Boissons végétales;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000
Artisans 1000000 commerçants;Boissons sans alcool;Jus de fruits & de légumes, BRSA;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000
Artisans 1000000 commerçants;Boissons alcoolisées;Vins tranquilles et autres;53;56;70;90;103;124;150;189;202;212;254;284;307
Artisans 1000000 commerçants;Boissons alcoolisées;Cidres, bières et autres boissons alcoolisées;1000000;1;1;1;1;1;1;1;1;2;2;2;2
Vente directe;Fruits et légumes frais;Fruits;56;60;69;77;83;104;121;120;144;147;167;155;161
Vente directe;Fruits et légumes frais;Légumes;84;90;104;116;127;156;176;195;226;256;284;298;314
Vente directe;Crèmerie;Lait;9;6;7;9;10;12;13;18;17;20;22;22;21
Vente directe;Crèmerie;Produits laitiers;36;38;44;50;55;64;72;79;92;107;119;126;132
Vente directe;Crèmerie;œufs;10;10;11;11;12;15;16;19;21;24;27;33;36
Vente directe;Viandes;Viande bovine;20;22;25;28;30;35;30;33;37;40;44;48;53
Vente directe;Viandes;Viande porcine;1;8;10;10;10;10;10;12;13;17;19;21;22
Vente directe;Viandes;Viande agneau;6;7;7;8;9;9;9;10;14;14;16;15;13
Vente directe;Viandes;Volaille;17;17;20;22;24;31;34;37;47;52;58;66;62
Vente directe;Viandes;Charcuterie salaison;1000000;1;1;2;2;2;2;2;2;2;3;3;3
Vente directe;Mer, traiteur, surgelés;Mer, saurisserie, fumaison;1000000;1;1;1;1;1;1;2;2;2;2;2;2
Vente directe;Mer, traiteur, surgelés;Traiteur;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1
Vente directe;Mer, traiteur, surgelés;Surgelés;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000
Vente directe;Boulangerie, pâtisserie fraîche;Boulangerie, pâtisserie fraîche;40;20;20;21;23;25;27;30;37;44;50;60;58
Vente directe;Epicerie;Epicerie sucrée;1000000;7;7;9;9;11;13;15;17;19;22;26;26
Vente directe;Epicerie;Epicerie salée;1000000;3;3;3;4;4;4;4;4;5;5;7;7
Vente directe;Boissons sans alcool;Boissons végétales;1000000;1;1;1;1;1;1;2;2;2;2;2;2
Vente directe;Boissons sans alcool;Jus de fruits & de légumes, BRSA;5;6;6;6;6;8;9;11;11;13;14;14;16
Vente directe;Boissons alcoolisées;Vins tranquilles et autres;105;120;150;193;228;274;324;407;435;448;500;560;589
Vente directe;Boissons alcoolisées;Cidres, bières et autres boissons alcoolisées;1000000;7;7;8;8;10;11;12;13;15;17;19;21
